id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
318,398,2024-11-27,Despejado,24.70,7.30,0.00,5.70,Norte
319,398,2024-11-28,Despejado,25.90,8.40,0.00,6.60,Norte
320,398,2024-11-29,Despejado,23.00,7.40,0.00,7.40,Norte
321,1154,2024-11-26,Despejado,23.50,5.80,0.00,10.00,Norte
322,1154,2024-11-27,Despejado,25.10,7.40,0.00,6.60,Norte
323,1154,2024-11-28,Despejado,26.40,8.80,0.00,7.50,Norte
324,1154,2024-11-29,Despejado,23.50,7.80,0.00,8.30,Norte
325,1275,2024-11-26,Despejado,23.60,5.90,0.00,9.80,Norte
326,1275,2024-11-27,Despejado,25.10,7.50,0.00,6.60,Norte
327,1275,2024-11-28,Despejado,26.40,9.00,0.00,7.50,Norte
328,1275,2024-11-29,Despejado,23.50,7.90,0.00,8.30,Norte
329,1661,2024-11-26,Despejado,22.30,5.60,0.00,8.60,Norte
330,1661,2024-11-27,Despejado,24.20,7.30,0.00,5.10,Norte
331,1661,2024-11-28,Despejado,25.30,8.20,0.00,5.90,Norte
332,1661,2024-11-29,Despejado,22.60,7.30,0.00,6.60,Sur
333,1606,2024-11-26,Despejado,23.00,5.90,0.00,8.90,Norte
334,1606,2024-11-27,Despejado,24.60,7.50,0.00,5.50,Norte
335,1606,2024-11-28,Despejado,25.80,8.70,0.00,6.50,Norte
336,1606,2024-11-29,Despejado,23.00,7.70,0.00,7.20,Norte
337,1664,2024-11-26,Despejado,23.30,6.20,0.00,9.10,Norte
338,1664,2024-11-27,Despejado,24.90,7.80,0.00,6.20,Norte
339,1664,2024-11-28,Despejado,26.10,9.20,0.00,7.00,Norte
340,1664,2024-11-29,Despejado,23.30,8.20,0.00,8.00,Norte
341,266,2024-11-26,Despejado,23.30,6.10,0.00,9.30,Norte
342,266,2024-11-27,Despejado,24.90,7.70,0.00,6.20,Norte
343,266,2024-11-28,Despejado,26.20,9.00,0.00,7.10,Norte
344,266,2024-11-29,Despejado,23.30,8.00,0.00,8.00,Norte
345,2270,2024-11-26,Despejado,18.10,6.20,0.00,8.70,Este
346,1252,2024-11-26,Despejado,18.10,6.20,0.00,8.70,Este
347,2270,2024-11-27,Despejado,23.20,7.00,0.00,6.20,Oeste
