id_municipio,id_estado,nombre_municipio
1045,10,Dzilam de Bravo
1046,9,Huitziltepec
1047,19,Metztitlán
1048,3,Tanlajás
1049,4,Jamapa
1050,8,Santo Domingo Tehuantepec
1051,17,Badiraguato
1052,2,Tenejapa
1053,11,Los Reyes
1054,8,San Mateo Tlapiltepec
1055,23,Candelaria
1056,2,Altamirano
1057,8,San Antonio de la Cal
1058,3,Rayón
1059,7,Cabo Corrientes
1060,8,San Pedro Comitancillo
1061,7,Tapalpa
1062,4,Tlacotepec de Mejía
1063,4,Atzalan
1064,8,San Mateo del Mar
1065,24,Victoria
1066,8,Santa María Tonameca
1067,4,Chontla
1068,7,Zacoalco de Torres
1069,4,Xico
